Year,Plot,Leaves,Wood,Thin litter,Thick litter,Soil Hz A,Soil Hz B,Roots
1999,10,2.14377805230569,30.5241099439699,0.532113533452938,0.26680501944005,,,
2000,10,2.17528974587169,31.0314521564857,0.76466042903993,0.199988783656804,,,
2001,10,2.13621724754131,30.5825854680327,0.61911714329765,0.132145932487546,,,
2002,10,2.13193843908634,30.5699993836862,0.887498060614603,0.133722813720461,,,
2003,10,2.14611849697164,30.7895056925979,0.518151618743768,0.298404241021519,,,
2004,10,2.19270539851714,31.5958619002229,1.04753911280329,0.160016486987017,,,
2005,10,2.21179158915555,31.9430571065351,0.641771763966472,0.116356587850671,3.4529925,5.0860575,
2006,10,2.22299294400349,32.2075823005798,0.642707378110858,0.120134532471198,,,
2007,10,2.19965231397714,31.8978359101415,0.476397711154787,0.093873710896995,,,
2008,10,2.23324264547914,32.4275367324211,0.58264520283288,0.20729417874367,,,
2009,10,2.29689291593865,33.3266108753606,,,,,
2010,10,2.3311509520025,33.8928957770777,0.683210964979615,0.233493403394713,,,
2011,10,2.3563729163816,34.1918334245718,1.43026696333462,0.553602346907311,,,
2012,10,2.33964175716467,34.2096825441639,0.063791873480823,0.114010305050275,,,
2013,10,2.33309966875844,34.3359073353786,0.3029810219513,0.184966760691304,,,
2014,10,2.35503476353326,34.8642539792335,0.884397448425622,0.407512608365284,,,
2015,10,2.40635093180063,35.7598000344779,0.638258958133462,0.260349661892803,,,
2016,10,2.38212794437723,35.3765249500932,0.255556320580699,0.140276726344766,,,
2017,10,2.4012559245828,35.7070365011612,0.083889351335543,0.041533925331254,,,
2018,10,2.40420596419886,35.8242761355616,0.624168042080142,0.166106369456844,9.86464799677108,22.3640220664583,
2019,10,2.444130843985,36.5059157193058,0.318650073472087,0.218538417080652,,,
2020,10,2.46311798805475,36.8477631420455,0.335042651869583,0.200171334538172,,,
2021,10,2.50413299314113,37.5563627195982,0.605597518911281,0.277117713197676,,,
2022,10,2.51148049885901,37.6559246530786,0.674538672419475,0.248758763538566,,,
2023,10,2.49759760326461,37.638037086628,,,,,
2024,5,,,,,51.2959522247315,,
2024,5,,,,,18.6520763397217,20.7317835569382,
2024,5,,,,,21.3147296905517,16.3092795133591,
2024,5,,,,,15.8542430877685,14.3892948627472,
2024,5,,,,,18.3088102340699,22.2702092885971,
2024,5,,,,,27.861395072937,,
2024,7,,,,,40.8457088470459,,
2024,7,,,,,15.4200960159301,11.4771570086479,
2024,7,,,,,19.661543083191,15.9865274429322,
2024,7,,,,,21.7766670227051,16.4890734195709,
2024,7,,,,,7.86605730056762,9.96296447515487,
2024,7,,,,,22.0526762008667,,
2024,9,,,,,55.8898509979248,,
2024,9,,,,,64.7781509399414,,
2024,9,,,,,48.8976127624512,,
2024,9,,,,,14.8651525497437,,
2024,9,,,,,13.2224930763245,,
2024,9,,,,,32.7189331054688,,
2024,10,,,,,74.4585891723633,,
2024,10,,,,,39.6470970153809,21.0021986246109,
2024,10,,,,,13.704040145874,10.2426077842712,
2024,10,,,,,26.4140321731567,15.9441579580307,
2024,10,,,,,49.2465866088867,,
