Year,Plot,Leaves,Wood,Thin litter,Thick litter,Soil Hz A,Soil Hz B
1953,2,0.709884195615711,10.3841136308858,0.370209497524783,0.149829321274874,4.6964775,4.36975125
1999,2,1.59663643553644,22.0532931319819,0.615787531927431,0.253266152051766,,
2000,2,1.60089366645846,22.1081803975571,0.889701006645474,0.192531449492809,,
2001,2,1.45588139259619,20.472236192389,0.7791752066526,0.142412086347672,,
2002,2,1.38388963537222,19.6553954064544,0.784831419434566,0.147890106047435,,
2003,2,1.38639222011695,19.7753096330299,0.5431027468579,0.353862004173921,,
2004,2,1.40186523406891,20.0947239942958,1.26267082693002,0.218266643989373,,
2005,2,1.43071955515087,20.5467739884723,0.514800418990242,0.140124787267636,4.6964775,4.36975125
2006,2,1.27833218621893,18.7733669544277,0.803284282036786,0.111839480152216,,
2007,2,1.26540561602876,18.6195063591786,0.678264968389069,0.133706387874285,,
2008,2,1.29404016382216,19.0808551456023,0.433474285885324,0.305315415800156,,
2009,2,1.36349708378574,20.0077300642521,,,,
2010,2,1.35754430473596,20.082750200961,0.788624909510893,0.260308597277362,,
2011,2,1.36807758141092,20.242059209117,1.81860374561228,0.94199329141782,,
2012,2,1.3745805562559,20.3574239968766,0.158097526443307,0.148961892510433,,
2013,2,1.3994268734385,20.7544203383048,0.690620636437772,0.482161761602978,,
2014,2,1.44010707607104,21.3329373665066,1.46237766604908,0.910460014777617,,
2015,2,1.46798031326436,21.75364312809,0.733904240439042,0.297841655789984,,
2016,2,1.46113668346939,21.7106687171774,0.515574427055143,0.22355576645811,,
2017,2,1.46988298320859,21.8402054381908,0.211278684968486,0.093328671455694,,
2018,2,1.48488046912928,22.0615877816642,0.675790962853688,0.295492327527678,5.85209686116186,10.4395904966679
2019,2,1.43228365312267,21.2566618383417,0.502127100125385,0.330118443526221,,
2020,2,1.44727125199783,21.495602192773,0.535426458082375,0.284331397310058,,
2021,2,1.4644471490756,21.854494963716,0.686825837810195,0.333490304727392,,
2022,2,1.44891070660855,21.7455143690425,0.94529199700297,0.290890141065591,,
2023,2,1.42012698984135,21.5303407358878,,,,
1953,3,2.44467840166005,39.0211432198745,0.504108658936667,0.194044650983388,6.244605,6.12965625
1999,3,4.91545650827675,73.9858496790064,1.03859129350264,0.397207600449695,,
2000,3,4.93516461854768,74.4970097416103,1.64129685999653,0.46982026525482,,
2001,3,4.9540138258364,75.0949175217406,0.703939071069317,0.193241867339929,,
2002,3,4.90998013915358,74.8605434512606,1.27533989300331,0.294975345632237,,
2003,3,4.88091477246125,74.7886165343521,0.990555958618655,0.682945619391042,,
2004,3,4.92136206550764,76.0500397603572,1.38132371160435,0.41474029656447,,
2005,3,4.95449440474088,77.1046761327898,1.14380955546898,0.296289413326333,6.244605,6.12965625
2006,3,4.96103888762537,77.5502234098102,1.20054604774283,0.212299955365868,,
2007,3,4.89432243591281,76.776550528581,1.06537532062853,0.298868271175997,,
2008,3,4.91572564722716,77.2320675239997,0.783368459136073,0.544147219202135,,
2009,3,4.94380247556966,78.1629823232362,,,,
2010,3,4.98781394229316,79.5467092889509,0.592286281311615,0.202982394122417,,
2011,3,4.96574748591102,79.4965207790047,2.80649157785207,1.27781790481606,,
2012,3,4.94496681151556,79.492160701638,0.247062173528082,0.237015298060139,,
2013,3,4.94560571334034,79.8162535795939,1.01691978676733,0.480269343310999,,
2014,3,4.96684111437751,80.3393207258004,1.84201161071659,1.10890300898177,,
2015,3,4.93622162379557,80.4658106900609,0.860424789509342,0.318332898894796,,
2016,3,4.92621813453788,80.5167908840175,0.36685795126343,0.122959191376141,,
2017,3,4.9078235254701,80.6506425109051,0.328947352166256,0.047165644020237,,
2018,3,4.87681428617804,80.5026154438623,0.877972461783759,0.375141056131877,9.92325443651532,9.21163403389068
2019,3,4.87960344854239,80.7600515313943,0.717800336378106,0.27390098498817,,
2020,3,4.6551609155047,77.5625480353279,0.639816134122019,0.242723465419109,,
2021,3,4.69593507317945,78.584982513273,0.819442054790884,0.129216656586123,,
2022,3,4.67855951296862,78.3939890313551,0.848819630125991,0.305090244825491,,
2023,3,4.68033271452897,78.8252886717956,,,,
1953,4,2.03574626183372,30.1777195877746,0.489795704954642,0.197508483895881,3.94166625,3.9965925
1999,4,4.05605791849847,57.3766204330931,0.873847495757738,0.357044554404714,,
2000,4,4.07403046246748,57.757278734415,1.44970009439266,0.361335764184093,,
2001,4,4.09898164199035,58.2860663368208,0.839037500727004,0.179452369475008,,
2002,4,4.05540396933881,57.9433434885792,1.31099529748753,0.221831052609609,,
2003,4,4.07462791231808,58.3675840198518,1.04591029363375,0.239891270480343,,
2004,4,4.13256098101494,59.567181033075,1.12451038734525,0.248991189261959,,
2005,4,4.17994147295401,60.5018718164469,0.92882243625548,0.23454465754999,3.94166625,3.9965925
2006,4,4.19204457410374,60.8265460122047,1.19505144104035,0.199676692579457,,
2007,4,4.04186187577244,58.6759295748624,1.12188216215784,0.210702541825232,,
2008,4,4.05864922922586,59.1173989745954,0.767446007515259,0.394877342075898,,
2009,4,4.08687474094508,59.7071694801791,,,,
2010,4,4.12772809796856,60.5651243253715,0.529136579357166,0.190498751028504,,
2011,4,4.11443095675075,60.6702630190146,2.77189157447467,1.37162317468732,,
2012,4,4.08611814973654,60.5210241269298,0.248986770181595,0.355072041508902,,
2013,4,4.09537069965412,61.0007189736466,0.86526082106084,0.600286459425061,,
2014,4,4.11409528189557,61.4759457635131,1.70484407288024,1.1069619294704,,
2015,4,4.05321508059582,60.9827010544561,0.853144010349397,0.515070733829227,,
2016,4,3.99877188883844,60.5296680961799,0.57042693266552,0.215712424908974,,
2017,4,4.01726685637598,61.2177725096604,0.437357084584523,0.207499501820873,,
2018,4,4.02193767451228,61.5309559532612,0.784441580207739,0.173511688441281,19.7328669992137,15.4676348478887
2019,4,4.00657503899305,61.576969360816,0.591138027588961,0.505861309406437,,
2020,4,4.0114265176135,61.9011312618084,0.598003248258801,0.566222383188223,,
2021,4,4.0395365760693,62.8860049760274,0.709875968094599,0.350746568682502,,
2022,4,4.03418932794539,62.9524466902753,1.20889264189662,0.277975858366497,,
2023,4,4.01561616610769,62.9482633736468,,,,
1953,6,#NAME?,25.8139322098176,0.323792040812106,0.129166374294681,5.78650875,4.02547125
1999,6,4.09398670571469,49.1530355509668,0.608143563288529,0.395999078615463,,
2000,6,4.14037254901224,49.9375238869717,0.806911913242062,0.414440524871755,,
2001,6,4.10589536043004,49.9714696757889,0.620784237591282,0.157725081445436,,
2002,6,3.95469741730553,48.205672919274,0.725079697940862,0.203885815662108,,
2003,6,3.90678729407768,48.0013589971782,0.49670053808795,0.429979375354442,,
2004,6,3.96667361709561,49.1236588871723,1.21237731387774,0.257015215119034,,
2005,6,4.0291571547587,50.29979390403,0.635179937040121,0.11182305430604,5.78650875,4.02547125
2006,6,4.01786170263098,50.3992972197982,0.683100392398915,0.235029220012187,,
2007,6,3.94510914287428,49.8165412918028,0.894774586982982,0.15362272636293,,
2008,6,3.96761462161851,50.260521383847,0.72988535240975,0.175715489469922,,
2009,6,4.06817450702458,51.8361810455889,,,,
2010,6,4.14723974082511,53.2687088541826,0.406949624891997,0.131037187870652,,
2011,6,4.15611194992592,53.4415330453671,2.05208546636422,0.995874526381512,,
2012,6,3.96795645777806,51.3824895590104,0.07095073928256,0.114501836053275,,
2013,6,3.95885126864787,51.5522604165088,0.504381079655041,0.311221473726746,,
2014,6,4.00050558724297,52.3858670794874,0.940128178861238,0.722226857246703,,
2015,6,4.01784025261275,53.1588097995464,0.691886659773007,0.234273631088082,,
2016,6,3.98666778778685,52.6828830583927,0.127200995720761,0.085907175501537,,
2017,6,3.99758282739412,53.021521830152,0.162445297020322,0.063688480907194,,
2018,6,3.93074269030073,52.7245489462765,0.554393908464007,0.12516494786266,8.4167869649034,9.71407130987336
2019,6,3.90633959634041,52.8017800646275,0.310757555099438,0.126244360611382,,
2020,6,3.89821877406105,52.9291666618268,0.298022547389896,0.143473448715981,,
2021,6,3.99879070507525,54.7762199529896,0.676133104731505,0.208138936547018,,
2022,6,3.98028613132545,54.750265808267,0.68616118724269,0.144664773823265,,
2023,6,3.97251062853001,54.8155006518269,,,,
2024,2,,,,,31.1031944274902,
2024,2,,,,,44.6877445220947,
2024,2,,,,,9.57128133773801,
2024,2,,,,,18.7885042190551,17.9466684579849
2024,2,,,,,32.4079410552978,29.2036651849747
2024,2,,,,,27.3624509811401,
2024,3,,,,,23.8493682861328,
2024,3,,,,,8.30855655670169,6.25519474744797
2024,3,,,,,14.2111063957214,10.9542795181274
2024,3,,,,,7.54049205780026,9.03614447116855
2024,3,,,,,34.1892127990723,22.2852735757828
2024,3,,,,,19.0458469390869,
2024,4,,,,,33.72121925354,
2024,4,,,,,15.1225708007812,11.4356718301773
2024,4,,,,,19.478960609436,21.6741453170777
2024,4,,,,,17.3289001464844,17.8452416181564
2024,4,,,,,10.7500971794129,11.5883752584458
2024,4,,,,,18.6164892196655,
2024,6,,,,,31.3999763488769,
2024,6,,,,,14.0204781532287,14.3148596167565
2024,6,,,,,12.6659574508667,12.8477293252945
2024,6,,,,,9.70753154754636,11.6593316674233
2024,6,,,,,17.1116901397705,
